1005588	1005588
1031732	1031732
1038880	1038880
1058549	1058549
1078009	1078009
1081209	1081209
1099586	1099586
1135495	1135495
1143796	1143796
1158537	1158537
1198880	1198880
1199200	1199200
1216752	1216752
1280843	1280843
1289825	1289825
1313514	1313514
1316145	1316145
1319626	1319626
1343058	1343058
1395592	1395592
1447278	1447278
1477086	1477086
1505577	1505577
1515336	1515336
1591723	1591723
1608049	1608049
1622103	1622103
1624526	1624526
1650837	1650837
1702404	1702404
1703964	1703964
1715905	1715905
1758897	1758897
1780243	1780243
1822752	1822752
1889755	1889755
1895874	1895874
1903381	1903381
1978152	1978152
1990672	1990672
2057118	2057118
2063412	2063412
2066390	2066390
2081814	2081814
2127351	2127351
2128355	2128355
2215736	2215736
2222678	2222678
2223061	2223061
2252191	2252191
2278601	2278601
2287624	2287624
2320716	2320716
2325059	2325059
2351399	2351399
2355944	2355944
2367165	2367165
2422677	2422677
2436079	2436079
2455258	2455258
2472616	2472616
2487774	2487774
2499041	2499041
2613905	2613905
2716562	2716562
2777881	2777881
2872073	2872073
2894231	2894231
2934576	2934576
2943982	2943982
2955830	2955830
2997213	2997213
3012431	3012431
3014800	3014800
3017694	3017694
3052000	3052000
3071877	3071877
3088502	3088502
3098803	3098803
3137292	3137292
3157934	3157934
3160250	3160250
3165570	3165570
3165597	3165597
3190705	3190705
3202395	3202395
3219190	3219190
3223772	3223772
3250835	3250835
3253931	3253931
3254119	3254119
3313127	3313127
3392320	3392320
3411136	3411136
3431077	3431077
3440671	3440671
3445978	3445978
3453775	3453775
3466282	3466282
3468486	3468486
3480566	3480566
3506159	3506159
3518575	3518575
3553565	3553565
3584489	3584489
3591130	3591130
3613902	3613902
3630495	3630495
3631823	3631823
3640860	3640860
3667343	3667343
3726328	3726328
3726355	3726355
3736710	3736710
3743175	3743175
3788979	3788979
3835002	3835002
3838922	3838922
3881231	3881231
3897904	3897904
3917474	3917474
3917517	3917517
3996125	3996125
4023776	4023776
4075297	4075297
4087315	4087315
4108030	4108030
4145327	4145327
4175579	4175579
4204896	4204896
4227386	4227386
4229211	4229211
4229472	4229472
4303118	4303118
4419988	4419988
4446774	4446774
4501438	4501438
4539246	4539246
4551684	4551684
4636045	4636045
4641632	4641632
4659536	4659536
4668210	4668210
4672948	4672948
4690791	4690791
4695799	4695799
4718117	4718117
4756631	4756631
4807232	4807232
4822140	4822140
4855012	4855012
4856431	4856431
4870956	4870956
4927889	4927889
4936799	4936799
4938339	4938339
4940221	4940221
4955218	4955218
4960263	4960263
4984042	4984042
4985138	4985138
5009965	5009965
5040615	5040615
5087103	5087103
5106830	5106830
5137025	5137025
5166147	5166147
5181856	5181856
5291343	5291343
5318040	5318040
5356891	5356891
5375245	5375245
5412049	5412049
5421820	5421820
5473459	5473459
5500242	5500242
5520273	5520273
5520644	5520644
5569318	5569318
5587990	5587990
5596060	5596060
5602424	5602424
5620955	5620955
5625523	5625523
5630630	5630630
5642421	5642421
5652005	5652005
5680099	5680099
5693304	5693304
5697308	5697308
5710499	5710499
5719642	5719642
5734183	5734183
5765084	5765084
5766529	5766529
5825056	5825056
5831808	5831808
5840937	5840937
5850848	5850848
5852246	5852246
5893987	5893987
5921198	5921198
1047593	1047593
1059285	1059285
1061622	1061622
1067629	1067629
1108711	1108711
1160576	1160576
1182307	1182307
1231948	1231948
