p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
eos	hb	-3.5517	9.3806	-0.3786	0.705	0.2042	0.5233	0.9988	0.013	0.0447	0.0093
eos	hdl					-0.4632	0.4337	1.0215	0.0125	-0.0398	0.0104
eos	plt	0.2165	1.2894	0.1679	0.8667	0.4666	0.5916	1.0	0.0142	0.1754	0.0093
eos	sbp	0.7761	1.5923	0.4874	0.626	1.105	0.446	0.9865	0.0129	-0.0102	0.0092
eos	wbc					-0.9144	0.5375	1.0344	0.0121	0.3369	0.0112
ggt	alt					-1.029	0.5813	1.0274	0.0133	0.5536	0.0104
ggt	ast					-0.8224	0.5602	1.016	0.0134	0.384	0.0104
ggt	bmi					0.0417	0.5059	1.0069	0.0132	0.2459	0.0099
ggt	bun					0.2288	0.531	1.0066	0.0132	0.0649	0.0089
ggt	creatinine					0.0621	0.5271	1.0078	0.0149	0.0081	0.0089
ggt	dbp					0.8552	0.4356	0.9885	0.0124	0.1588	0.0097
ggt	drink										
ggt	eos					0.2431	0.769	0.9983	0.0187	0.1093	0.0102
ggt	glucose					0.0051	0.47	1.0086	0.0136	0.1762	0.0096
ggt	hb					0.2042	0.5233	0.9988	0.013	0.1911	0.0099
ggt	hdl					-0.4632	0.4337	1.0215	0.0125	-0.1422	0.0102
ggt	height					0.3614	0.5811	0.9933	0.015	-0.0268	0.0093
ggt	ldl					-0.2165	0.4622	1.0063	0.0155	0.2243	0.0092
ggt	mono					0.1729	0.5328	1.0104	0.0139	0.1428	0.0103
ggt	neut					-0.7117	0.543	1.028	0.0122	0.1946	0.0093
ggt	plt					0.4666	0.5916	1.0	0.0142	0.1907	0.0105
ggt	rbc					-2.9982	16.836	1.061	0.4035	0.1715	0.0097
ggt	sbp					1.105	0.446	0.9865	0.0129	0.1674	0.0092
ggt	smoke										
ggt	triglycerides					0.5145	0.4428	1.0016	0.0126	0.3309	0.0103
ggt	wbc					-0.9144	0.5375	1.0344	0.0121	0.237	0.0095
glucose	alt					-1.029	0.5813	1.0274	0.0133	0.1153	0.0097
glucose	creatinine										
glucose	hb										
hdl	alt					-1.029	0.5813	1.0274	0.0133	-0.1192	0.0095
hdl	creatinine					0.0621	0.5271	1.0078	0.0149	-0.0085	0.0091
hdl	glucose					0.0051	0.47	1.0086	0.0136	-0.0777	0.0094
hdl	hb					0.2042	0.5233	0.9988	0.013	-0.0481	0.0096
hdl	sbp					1.105	0.446	0.9865	0.0129	-0.0868	0.0093
hdl	wbc					-0.9144	0.5375	1.0344	0.0121	-0.1745	0.0104
height	alt					-1.029	0.5813	1.0274	0.0133	-0.0268	0.0092
height	creatinine										
height	eos	1.0251	2.8173	0.3638	0.716	0.2431	0.769	0.9983	0.0187	-0.0096	0.0106
height	glucose										
height	hb	-0.6407	1.7696	-0.3621	0.7173	0.2042	0.5233	0.9988	0.013	-0.0393	0.0098
height	hdl					-0.4632	0.4337	1.0215	0.0125	0.0729	0.01
height	mono	2.3382	5.0688	0.4613	0.6446	0.1729	0.5328	1.0104	0.0139	-0.0451	0.009
height	plt	-0.7058	1.1013	-0.6409	0.5216	0.4666	0.5916	1.0	0.0142	-0.0515	0.009
height	sbp	-0.4007	0.6812	-0.5883	0.5564	1.105	0.446	0.9865	0.0129	0.073	0.0095
height	wbc					-0.9144	0.5375	1.0344	0.0121	-0.0719	0.0094
ldl	alt					-1.029	0.5813	1.0274	0.0133	0.138	0.0089
ldl	creatinine					0.0621	0.5271	1.0078	0.0149	0.0594	0.0091
ldl	dbp					0.8552	0.4356	0.9885	0.0124	0.0983	0.0096
ldl	eos					0.2431	0.769	0.9983	0.0187	0.072	0.0099
ldl	glucose					0.0051	0.47	1.0086	0.0136	0.0359	0.0094
ldl	hb					0.2042	0.5233	0.9988	0.013	0.129	0.0098
ldl	hdl					-0.4632	0.4337	1.0215	0.0125	0.0112	0.0099
ldl	height					0.3614	0.5811	0.9933	0.015	-0.0165	0.0089
ldl	mono					0.1729	0.5328	1.0104	0.0139	0.0433	0.0103
ldl	plt					0.4666	0.5916	1.0	0.0142	0.1576	0.0096
ldl	sbp					1.105	0.446	0.9865	0.0129	0.0871	0.0095
ldl	wbc					-0.9144	0.5375	1.0344	0.0121	0.0737	0.0103
lymph	alt					-1.029	0.5813	1.0274	0.0133	0.1369	0.0086
lymph	ast					-0.8224	0.5602	1.016	0.0134	0.0661	0.0087
lymph	bmi					0.0417	0.5059	1.0069	0.0132	0.1863	0.0091
lymph	bun					0.2288	0.531	1.0066	0.0132	0.05	0.0093
lymph	creatinine					0.0621	0.5271	1.0078	0.0149	0.0082	0.0099
lymph	dbp					0.8552	0.4356	0.9885	0.0124	0.1374	0.0098
lymph	drink										
lymph	eos					0.2431	0.769	0.9983	0.0187	0.2738	0.0105
lymph	ggt					-0.9856	0.6272	1.0264	0.0149	0.206	0.0089
lymph	glucose					0.0051	0.47	1.0086	0.0136	0.0365	0.0089
lymph	hb					0.2042	0.5233	0.9988	0.013	0.0926	0.0089
lymph	hdl					-0.4632	0.4337	1.0215	0.0125	-0.0877	0.0095
lymph	height					0.3614	0.5811	0.9933	0.015	-0.0556	0.0095
lymph	ldl					-0.2165	0.4622	1.0063	0.0155	0.1137	0.0106
lymph	mono					0.1729	0.5328	1.0104	0.0139	0.4103	0.0105
lymph	neut					-0.7117	0.543	1.028	0.0122	0.2816	0.0094
lymph	plt					0.4666	0.5916	1.0	0.0142	0.28	0.0095
lymph	rbc					-2.9982	16.836	1.061	0.4035	0.1375	0.0085
lymph	sbp					1.105	0.446	0.9865	0.0129	0.1378	0.0099
lymph	smoke										
lymph	triglycerides					0.5145	0.4428	1.0016	0.0126	0.2042	0.0098
lymph	wbc					-0.9144	0.5375	1.0344	0.0121	0.6565	0.011
mono	alt					-1.029	0.5813	1.0274	0.0133	0.1077	0.01
mono	creatinine										
mono	eos	0.4311	2.1895	0.1969	0.8439	0.2431	0.769	0.9983	0.0187	0.296	0.0101
mono	glucose										
mono	hb	-4.7902	12.5379	-0.3821	0.7024	0.2042	0.5233	0.9988	0.013	0.0796	0.0091
mono	hdl					-0.4632	0.4337	1.0215	0.0125	-0.095	0.0091
mono	plt	-2.4242	5.9769	-0.4056	0.685	0.4666	0.5916	1.0	0.0142	0.3429	0.0102
mono	sbp	-0.89	1.875	-0.4747	0.635	1.105	0.446	0.9865	0.0129	0.1202	0.009
mono	wbc					-0.9144	0.5375	1.0344	0.0121	0.694	0.011
neut	alt					-1.029	0.5813	1.0274	0.0133	0.1047	0.0091
neut	bmi					0.0417	0.5059	1.0069	0.0132	0.2344	0.0098
neut	creatinine					0.0621	0.5271	1.0078	0.0149	-0.0313	0.0098
neut	dbp					0.8552	0.4356	0.9885	0.0124	0.1351	0.0088
neut	drink										
neut	eos					0.2431	0.769	0.9983	0.0187	0.1874	0.0101
