p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
waist	bmi	0.8782	0.0388	22.6431	1.6312e-113	0.2762	0.0198	1.044	0.0549	0.9176	0.0229
waist	bun										
waist	cholesterol	-0.1947	0.0345	-5.6391	1.7089e-08	0.1123	0.0172	1.1631	0.0627	-0.0287	0.0163
waist	creatinine	0.0329	0.0225	1.4655	0.1428	0.2329	0.0564	1.0289	0.1588	0.0689	0.0158
waist	dbp	0.259	0.0269	9.6289	6.0374e-22	0.1608	0.0182	1.0141	0.0499	0.2572	0.0141
waist	drink	-0.1969	0.0559	-3.5214	0.0004	0.0193	0.0032	1.0289	0.0109	-0.0547	0.0119
waist	eos	0.1133	0.0217	5.2264	1.7281e-07	0.2507	0.0316	1.0352	0.085	0.1495	0.0129
waist	ggt	0.2925	0.0287	10.2032	1.9178e-24	0.2314	0.0253	1.0608	0.0662	0.3021	0.0161
waist	glucose					-0.2451	0.2286	2.128	0.8695	0.1446	0.014
waist	hb					-0.0385	0.3405	1.4428	0.4081	0.1252	0.0117
waist	hdl	-0.4566	0.0369	-12.3786	3.4125e-35	0.2609	0.0336	1.1482	0.0642	-0.3684	0.0156
waist	height	0.1144	0.0205	5.571	2.5329e-08	0.4628	0.0314	1.4001	0.0969	0.1169	0.0202
waist	ldl	-0.0795	0.0386	-2.0588	0.0395	0.0911	0.0184	1.1674	0.0669	0.0355	0.0162
waist	lymph	0.2749	0.0289	9.5064	1.973e-21	0.2176	0.0235	1.1139	0.0448	0.149	0.0134
waist	mono	0.1168	0.0211	5.5391	3.0399e-08	0.4884	0.1074	0.8078	0.1695	0.1308	0.0176
waist	neut	0.2565	0.3285	0.7808	0.4349	0.1586	0.3698	1.0731	0.6548	0.1532	0.0163
waist	plt	0.0312	0.0186	1.6793	0.0931	0.3125	0.0408	1.1161	0.0955	0.0488	0.0126
waist	rbc	0.1349	0.0199	6.794	1.0906e-11	0.3014	0.0331	0.9414	0.0688	0.178	0.0139
waist	sbp	0.1356	0.0215	6.3213	2.5934e-10	0.1626	0.0159	1.049	0.0455	0.1746	0.012
waist	smoke	0.4093	0.0565	7.2409	4.4557e-13	0.0531	0.0062	1.016	0.0196	-0.0113	0.0178
waist	triglycerides	0.3569	0.0396	9.0212	1.8596000000000002e-19	0.2334	0.0423	1.0459	0.1061	0.3763	0.0156
waist	wbc	0.2913	0.0268	10.8608	1.7724e-27	0.207	0.0198	1.1524	0.056	0.2013	0.0139
wbc	alt	0.0736	0.0422	1.7453	0.0809	0.4954	0.3627	0.9593	0.2682	0.0629	0.0158
wbc	creatinine	0.0061	0.0248	0.2444	0.8069	0.2329	0.0564	1.0289	0.1588	0.0363	0.0161
wbc	glucose					-0.2451	0.2286	2.128	0.8695	0.0388	0.0219
wbc	hb					-0.0385	0.3405	1.4428	0.4081	0.1505	0.0127
